Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
CITY GIRLS COLLEGE (Id: C-54294),24,13,8,3,,,5,2,,,3,,,
CITY INSTITUTE OF IT & PROFESSIONAL STUDIES KATNI (Id: C-31494),4,5,,2,,,2,1,,,1,,,
City Law College (Id: C-16718),3,3,,,3,3,,,,,,,3,3
"CITY LAW COLLEGE, LAKSHBAR BAJHA (Id: C-53195)",7,,4,,,,1,,,,,,,
"CITY MODEL COLLEGE, BHAILAMAU, KALPI ROAD, (Id: C-12662)",11,3,2,,1,,1,,,,1,1,,1
"CITY NURSING COLLEGE, GURDASPUR (Id: C-50864)",2,39,,1,,,1,3,,,,,1,30
"CITY PREMIER COLLEGE, HINDUSTAN COLONY, WARDHA ROAD, NAGPUR (Id: C-18763)",7,10,,1,,,,,,,1,,,
"CITY PUBLIC DEGREE COLLEGE, NEKPUR CHAURASI, FATEHGARH, (Id: C-12055)",30,10,,,,,15,5,,,,1,,
"CITY PUBLIC MAHILA DEGREE COLLEGE, NEKPUR CHAURASI, (Id: C-12469)",17,7,1,,,,9,3,,,2,,,
CITY WOMENS COLLEGE (Id: C-54300),14,12,6,3,,,2,4,,,1,,,
"City Women's Degree College, Siripur, BBSR,Khurda (Id: C-39597)",1,11,,,,,,1,,,,,,1
"C.J.Degree College,Borda (Id: C-40939)",8,4,,2,,,8,2,2,,,,,
C. J. Patel Vidhyadham English and Gujarati Medium Commerce College (Id: C-663),5,5,,,,,4,2,,,,,,
"C.Kandaswami Naidu College for Women,Cuddalore-607001 (Id: C-36452)",1,95,,22,,,1,68,,,,5,,3
C KANDASWAMY COLLEGE FOR MEN (Id: C-43985),11,14,4,4,,,7,10,,,,1,,
C.K.B. College P.O. Teok--785112 (Id: C-8452),20,13,2,,1,2,8,5,1,,,1,,1
C.K.B. Commerce College P.O. Jorhat-785001 (Id: C-8455),16,7,3,1,1,1,4,,,,,,,
C K COLLEGE (Id: C-49242),31,4,2,,,,3,1,1,,24,2,,
C K College of  Engineering & Technology (Formerly  Sri Jayaram Engineering College) (Id: C-25014),70,31,6,5,,,59,25,,,1,,6,1
"CKD Girls College, Pathalgaon (Id: C-60149)",3,5,,,2,1,1,3,,,,,1,1
CKD INSTITUTE OF MANAGEMENT AND TECHNOLOGY (Id: C-51667),5,7,1,,,,,,,,,,4,5
"CKD Institute of Management and Technology, Amritsar (Id: C-51821)",2,13,,,,,,,,,,,2,7
"CKG MEMORIAL GOVT. COLLEGE,PERAMBRA (Id: C-8076)",20,18,3,3,,,12,12,,,3,4,1,1
"CKM Arts & Science College, Desaipet Road, Warangal  506 006 (Id: C-27373)",25,17,2,3,,,15,10,,,,,,
"CKM Arts & Science College(PG), Desaipet, Warangal (Id: C-27243)",13,11,1,1,,,9,8,,,1,,,
C K NAIR ARTS AND MANAGEMENT COLLEGE (Id: C-52008),6,16,,,,,5,7,,,,,,1
C K PATEL COLLEGE OF MANAGEMENT & COMP STUDY (Id: C-6835),1,2,1,,,,,1,,,,,,
C K PATEL COLLEGE OF SOCIAL WORK (Id: C-6870),1,2,,1,,,,1,,,,,,
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT 009  (Id: C-372)",43,35,4,1,5,1,14,9,,,,,,
"C.K.PITHAWALA INSTITUTE OF PHARMACEUTICAL SCIENCE  RESEARCH, SURAT 216 (Id: C-38)",2,5,0,,,0,,,,,1,,,1
"C.K. RAGHAVAN MEMORIAL COLLEGE OF TEACHER EDUCATION, PULPALLY (Id: C-8224)",3,7,,,,,1,3,,,,1,2,4
C K R Institution of Education (Id: C-54984),8,1,1,,,,2,,,,1,,,
C.K.S. College  of Education (Id: C-14893),14,13,3,5,,,11,7,,,,,,1
"C.K.Shah Vijapurwala Institute of Management, Vadodra (SFI) 705 (Id: C-410)",8,6,,,,,,,,,,,2,
"CKS Teja Institute of Dental Sciences & Research, Tirupati (Id: C-30680)",53,24,3,4,,,11,6,,,5,1,,2
"Classic College of Law, Maheshpur Thakuran (Id: C-13425)",6,4,1,,,,3,2,,,,2,,
Classic Degree College Dharwad (Id: C-60823),12,3,,,,,,,11,3,1,,,
"C.Laxma Reddy College of Education, Telkapally (Id: C-22035)",11,5,3,,,,6,3,,,,,,1
"C.L.BAID METHA COLLEGE OF PHARMACY (Inst. Code - 027), CHENNAI (Id: C-45410)",15,26,1,2,,,13,18,,,1,1,4,5
"C.L. CHOUKSEY HOMOEOPATHIC COLLEGE, HOSPITAL & RESEARCH CENTRE, LALKHADAN, MASTURI ROAD (Id: C-33021)",22,7,2,,,,4,2,,,,,,
"C L E SOCIETYS COLLEGE OF EDUCATION, CHIKKODI (Id: C-10052)",9,3,5,,,,4,2,,,,,,
"C.L.E SOCIETYS DEGREE COLLEGE, CHIKODI (Id: C-53517)",11,10,2,1,,,9,9,,,1,,,3
CLG DEGREE COLLEGE (Id: C-55530),11,5,,,,,7,3,,,,,,
"CLG Institute of Engg. & Technology,Sumerpur,Pali (Id: C-25210)",28,3,2,,,,16,3,,,,,,
CLG PHARMACY COLLEGE (Id: C-51868),7,,1,,,,3,,,,1,,,
C L Gupta Eye Institute (Id: C-59417),4,2,,,,,,,,,1,,,
"C.L JAIN COLLEGE,FIROZABAD (Id: C-15287)",15,4,1,,,,6,1,,,,,,
C.L. Patel Institute of Studies and Research in Renewable Energy (Id: C-50369),3,,2,,,,,,,,,,1,
"C.L.R.Degree College, Cumbum, Prakasam District (Id: C-42708)",1,,,,,,,,,,,,,
"CLUNY COLLEGE FOR WOMEN, DARJEELING (Id: C-45340)",15,23,4,1,1,7,3,7,,,,1,2,8
"C. Mallikarjunappa Nagappa Arts & Commerce College, Karatagi. (Id: C-8562)",13,2,1,,1,,9,2,,,,,,
C.M.B. College (Id: C-8724),3,3,,,,1,3,1,,,1,,,1
C M C COLLEGE OF NURSING (Id: C-48080),1,16,,,,7,,,,,,,,7
C. M. College (Id: C-8712),32,7,1,,,,8,2,1,,5,0,,
"C. M. College of Arts & Science, Kaithakkal, Panamaram (Id: C-8263)",12,18,,1,,,10,10,,,9,4,1,3
"C.M.D. College, Bilaspur (Id: C-22316)",35,51,3,,1,1,6,7,,,,1,2,
"CMFs College of Physiotherapy, Pune (Id: C-13784)",4,10,,1,,,,,,,,,,1
"CMI Degree College, Anantapur (Id: C-30981)",5,3,,,,,2,0,,,1,0,,
C.M.J. College (Id: C-8713),11,,2,,,,6,,1,,1,,,
"C.M.K. National Girls College, Sirsa (Id: C-22426)",7,56,1,4,,,,7,,,,,2,8
C. M. Law College (Id: C-8718),2,2,,,,,,,,,2,,,
"C M MEDICAL COLLEGE AND HOSPITAL, KACHANDUR (Id: C-50869)",78,39,7,1,,,11,6,,,3,1,3,5
"C.M. NURSING INSTITUTE, CHANDULAL CHANDRAKAR MEMORIAL HOSPITAL, NEHRU NAGAR, G.E.ROAD, SUPELA, BHILAI (Id: C-32984)",3,30,,,,3,2,10,,,,1,1,12
"CMR Centre for Business Studies, #5, 2nd Cross, 3rd Main, Bhuvanagiri, OMBR Layout, Bangalore-560 043. (Id: C-21240)",7,5,1,,,,2,2,,,,,,1
CMR College of Engineering & Technology (Id: C-19735),152,86,28,14,7,2,56,31,1,,8,4,10,8
CMR College of pharmacy (Id: C-19611),13,38,2,7,,,4,11,,,,1,2,4
CMR Engineering College (Id: C-19760),133,63,18,3,2,3,47,27,,,4,,2,1
"CMR Institute of Management Studies, 2079, IImain, 3rd block, 3rd stage, HBR layout, Kalyana Nagar, Bangalore-84 (Id: C-20874)",13,26,1,1,,,10,15,,,1,3,5,6
CMR Institute of Technology (Id: C-19837),125,93,8,13,8,1,39,39,,,7,4,3,7
"C M R Institute of Technology, BANGALORE (Id: C-1406)",115,137,2,1,,,32,25,,,7,2,4,11
"CMR Law School, Bangalore (Id: C-9823)",2,6,,,,,,,,,,1,,1
CMR Technical Campus (Id: C-19705),130,86,22,11,2,0,39,21,,,6,5,5,6
CMS Academy of Management and Technology (Id: C-41132),,6,,,,,,1,,,,,,1
C. M. Sc. College (Id: C-8774),32,4,1,,,,3,1,,,1,,,
"C.M. Sc. College, Madhepura (Id: C-29636)",47,4,1,1,,,35,2,,,1,,,
"C.M.S College, Kottayam - 686 001 (Id: C-11771)",58,85,1,,,,9,15,,,2,2,47,63
"C.M.S. College of Education, (Id: C-14884)",5,10,,,,,4,8,,,,,1,4
CMS College of Engineering (Id: C-37005),53,22,7,4,,,45,18,,,1,,,
CMS College of Engineering and Technology (Id: C-37075),57,33,3,3,,,51,26,,,1,1,6,
CMS College of Science and Commerce (Id: C-41096),43,83,2,2,2,,29,56,,,1,1,7,7
CMS Degree College (Id: C-25429),9,4,,,,,,1,,,,,,
CMS Institute of Management Studies (Id: C-41065),9,4,,,,,3,2,,,1,,1,
C N ARTS & B D COMMERCE COLLEGE (Id: C-6712),13,6,4,,1,1,2,1,,,,1,,
"CNB College, Hathiama, Sheikhpura (Id: C-17661)",53,1,2,,,,6,,,,3,,,
CNB College P.O. Bokakhat- 785612 (Id: C-8403),18,3,,,1,,8,2,,,1,,,
"CND College, Bounsi (Id: C-17615)",35,4,,,,,3,,,,1,1,,
"CNK COLLEGE OF NURSING, HEBBAL (Id: C-47262)",4,5,,,,,,3,,,1,1,2,2
C. N. Kothari Homeopathic Medical College & Research Centre (Id: C-557),28,12,1,,1,2,4,1,,,1,,,
CNK Reddy College of Pharmacy (Id: C-40576),18,11,,,,,18,11,,,2,2,2,
C. N. Law College (Id: C-15065),7,4,,,1,,2,,,,,,,
C. N. Parmar Shikshan Mahavidyala (Id: C-593),,6,,,,4,,2,,,,,,
C. N. P. F. Arts & D. N. Science College (Id: C-5891),15,6,,1,1,1,6,,,,,,,
"CNR Arts & Science College, Piler Rural (Id: C-27801)",12,2,1,,,,6,,,,,,,
"COALFIELD COLLEGE, BHAGA, DHANBAD (Id: C-44439)",4,,,,,,,,,,,,,
COALFIELD COLLEGE OF EDUCATION (Id: C-50763),9,6,3,2,,,1,,,,,,,
"Coastal Institute of Technology & Management, Narapam (V), Veerabhadrapuram (P), Kothavalasa (M),  Pin-535183 (CC-JA) (Id: C-18139)",46,31,2,1,,,28,19,,,,,,1
"COCHIN COLLEGE OF ENGINEERING & TECHNOLOGY, VALIYAPARAMBA (Id: C-43329)",43,72,1,4,,,29,42,,,17,19,5,10
Cochin University College of Engineering (Id: C-9476),38,46,1,2,,,13,16,,,2,3,17,17
COER School of Management (Id: C-21261),16,6,,,,,2,,,,1,,,
COGENT COLLEGE OF HIGHER STUDIES (Id: C-56467),4,8,,1,,,,,,,,,,
COGNIZANT Degree College of Commerce & Science (Id: C-25816),6,14,,1,,,1,,,,2,7,,
Coimbatore Institute of Engineering and Technology (Id: C-36942),90,50,2,,,,86,50,,,,,5,6
Coimbatore Institute of Management and Technology (Id: C-41090),10,10,,,,,10,9,,,,,,
Coimbatore Institute of Technology (Id: C-36969),55,52,7,,,,41,47,,,1,,2,3
"COIMBATORE MEDICAL COLLEGE (Inst. Code - 007), COIMBATORE (Id: C-45513)",125,123,14,15,2,,33,36,1,1,2,,,2
"COLLAGE OF AGRICULTURE, KARAD (Id: C-50709)",12,4,2,,1,1,3,2,,,1,,,
"College of Advance Computing, Berhampur (Id: C-39320)",4,2,,,,,,,,,,,,
COLLEGE OF ADVANCE TECHNOLOGY & SCIENCE (IATS) COLLEGE  (B.ED.) (Id: C-34750),5,3,,,,,2,,,,,,,
"COLLEGE OF AGRI-BIOTECHNOLOGY ,SARALGAON (Id: C-55275)",6,5,1,,,,2,3,,,,,,
College of Agribusiness Management (Id: C-16665),6,2,1,1,,,1,,,,,,,
"College of Agri-Business Management, Barshi Road (Id: C-44522)",4,3,,,,,1,,,,1,,,
"College of Agricultural Biotechnology, Achloli, Mahad (Id: C-55086)",5,8,2,,,,,2,,,,,,
"College of Agricultural Biotechnology, Latur (Id: C-44511)",7,2,1,1,,,,,,,,,1,1
"COLLEGE OF AGRICULTURAL BIOTECHNOLOGY, MADADGAON (Id: C-50683)",6,9,,2,,,3,3,,,1,,,
"COLLEGE OF AGRICULTURAL BUSINESS MANAGEMENT, LONI (Id: C-50802)",7,3,1,,,,,,1,,,,,
"College of Agricultural Engineering and Post Harvest Technology, Ranipool, Gangtok (Id: C-26829)",26,7,2,,1,,9,4,,,1,,1,
College of Agricultural Engineering and Technology- Junagadh (Id: C-6352),34,2,3,,1,,5,,,,,,,
"College of Agricultural Engineering, Bapatla (Id: C-26373)",12,5,3,1,,,5,1,,,,,,
"COLLEGE OF AGRICULTURAL ENGINEERING, DEDIAPADA (Id: C-46336)",8,3,1,1,2,1,1,,,,,,,
"College of Agricultural Engineering, Jabalpur (Id: C-29470)",12,1,,,,,,,,,,,,
"College of Agricultural Engineering, Madakasira (Id: C-26381)",11,3,1,,1,,4,,,,,,,
"College of Agricultural Engineering, Parbhani (Id: C-44501)",15,3,2,,3,,3,3,,,,,2,
"College of Agricultural Engineering,Pusa (Id: C-10243)",16,,3,,,,5,,,,,,,
College of Agricultural Engineering & Technology (Id: C-29457),22,2,3,,,,1,,,,,,,
College of Agricultural Engineering & Technology (Id: C-43582),21,2,5,,3,,5,1,,,,,2,
"COLLEGE OF AGRICULTURAL ENGINEERING & TECHNOLOGY, AKOLA (Id: C-44558)",26,3,9,,2,,7,1,,,,,6,
"College of Agricultural Engineering & Technology, Godhra (Id: C-7228)",17,2,1,,,,2,1,,,1,,,
"College of Agricultural Information Technology , Anand (Id: C-7229)",10,,,,,,3,,,,,,,
"College of Agricultural, Saralgaon (Id: C-44804)",16,7,1,1,1,2,7,2,,,,,,
"COLLEGE OF AGRICULTURAL TECHNOLOGY, THENI (Id: C-45374)",14,11,6,4,,,8,7,,,,,,
College of Agriculture (Id: C-16666),148,37,7,6,,,23,6,,,2,,2,1
College of Agriculture (Id: C-29453),146,30,8,5,,,14,2,,,1,1,,
College of Agriculture (Id: C-58354),22,11,1,1,1,1,5,1,,,1,1,,
College of Agriculture (Id: C-9590),23,3,3,,4,,,,,,,,2,
"College of Agriculture, Achloli (Id: C-57088)",9,7,2,3,1,,2,2,,,,2,1,2
"COLLEGE OF AGRICULTURE, AKLUJ (Id: C-50703)",23,4,,,,,10,2,,,,,,
"COLLEGE OF AGRICULTURE, AKOLA (Id: C-44561)",28,5,6,1,2,1,11,1,,,,,7,1
"COLLEGE OF AGRICULTURE, AMALNER (Id: C-50686)",11,2,,0,1,,9,2,,,,,,0
"College of Agriculture, Ambagarh Chwoki (Id: C-33308)",12,3,5,,1,,4,2,,,,,,
"College of Agriculture, Ambajogai (Id: C-44495)",11,2,5,1,,,3,,,,,,3,1
"College of Agriculture, (Amkheda) (Id: C-58980)",10,6,1,,,,9,5,,,,,1,
"COLLEGE OF AGRICULTURE, AMRELI (Id: C-50673)",15,2,1,,,,1,,,,,,,
"COLLEGE OF AGRICULTURE, BABHULGAON (Id: C-50692)",8,6,,1,1,1,3,3,,,,,,
"College of Agriculture, Badnapur (Id: C-44531)",13,3,2,1,1,,4,,,,1,,2,1
"College of Agriculture, Bawal (Id: C-55605)",15,,3,,,,5,,,,,,,
"College of Agriculture, Bhanashiware (Id: C-54929)",8,4,1,1,,,5,1,,,,,,
"COLLEGE OF AGRICULTURE, BHARUCH (Id: C-46334)",26,5,2,,,1,7,,1,,,,,
"College of Agriculture,Bheemarayangudi (Id: C-35095)",28,2,10,2,2,,6,,1,,1,,,
"COLLEGE OF AGRICULTURE,BIJAPUR (Id: C-44535)",40,10,7,2,1,,6,3,,,1,,,
"College of Agriculture, Bikaner (Id: C-51823)",29,3,2,,2,,14,1,,,1,,1,1
"College of Agriculture Biotechnology, Kharawate,Dahiwali,Ratnagiri (Id: C-43578)",3,5,,,,,,1,,,1,,,
"COLLEGE OF AGRICULTURE, BRAHMANGAON (UMARKHED) (Id: C-44562)",9,6,1,1,,,6,4,,,,,1,1
"COLLEGE OF AGRICULTURE BUSINESS MANAGEMENT, GUNJALWADI PATHAR (Id: C-50803)",7,2,,1,,,1,,,,,,,
"College of Agriculture, Dantewada (Id: C-33301)",8,4,1,,,,1,3,,,,,,
"College of Agriculture, Dapoli (Id: C-44805)",61,2,11,,2,,13,,1,,2,,1,
"COLLEGE OF AGRICULTURE, DARWHA (Id: C-44540)",13,7,2,,1,,5,6,,,,,2,
"COLLEGE OF AGRICULTURE, DHARWAD (Id: C-30813)",81,13,11,2,1,1,6,1,,,2,1,1,
"College of Agriculture, Dhule (Id: C-44573)",42,2,4,1,3,,13,1,,,,,,
COLLEGE OF AGRICULTURE ENGINEERING AND TECHNOLOGY (Id: C-55277),8,5,,3,1,,,,,,1,,,2
COLLEGE OF AGRICULTURE ENGINEERING JALGAON JAMOD (Id: C-44552),8,6,,1,,,6,5,,,,,,1
"College of Agriculture, Ganjbasoda (Id: C-29469)",26,9,1,,1,2,2,,,,1,1,,
College of Agriculture Golegaon. (Id: C-57403),9,4,1,,1,1,1,,,,,1,1,
"COLLEGE OF AGRICULTURE, GWALIOR (Id: C-45268)",34,13,,1,,,8,3,1,,,,,
"College of Agriculture, Imphal (Id: C-26831)",30,10,2,1,2,,,,,,,,3,
"COLLEGE OF AGRICULTURE, INDORE (Id: C-45269)",32,6,2,1,1,,4,1,,,,1,1,
"College of Agriculture, Jabalpur (Id: C-29472)",68,10,5,1,1,,4,,1,,1,,2,
"College of Agriculture , Jabugam (Id: C-58336)",9,2,,,1,,4,2,,,,,2,
"College of Agriculture,Janjgir (Id: C-33322)",6,2,2,2,2,,,,,,1,,,
College of Agriculture - Junagadh (Id: C-6351),80,11,4,3,2,1,16,1,,,,,,
"College of Agriculture, Kaul (Id: C-29456)",12,1,1,,,,,,,,,,,
"College of Agriculture, Khandala, Tal. Vaijapur (Id: C-44525)",13,5,1,,1,,3,,,,2,,,
"College of Agriculture, Khapat (Porbandar) (Id: C-55958)",7,,,,,,6,,,,1,,,
"College of Agriculture, Kolhapur (Id: C-44569)",40,7,5,3,1,1,5,1,,,,,1,
"College of Agriculture, (Konghara) (Id: C-58978)",9,4,2,,,,4,4,,,,,,
"College of Agriculture, Latur (Id: C-44496)",21,2,4,,,,6,,1,,,,1,
"College of Agriculture, Muktainagar  (Id: C-53089)",10,1,1,,3,,6,1,,,,,,
"COLLEGE OF AGRICULTURE, NAGAUR  (Id: C-51843)",6,4,,,,,3,2,,,,,,
"COLLEGE OF AGRICULTURE, NAGPUR (Id: C-44556)",53,14,15,5,1,,25,6,3,,1,,13,5
"College of Agriculture, Naigaon Bazaar, Tal. Naigaon (Id: C-44510)",25,6,1,1,,,9,1,,,,,1,
"COLLEGE OF AGRICULTURE, NANDURBAR (Id: C-50707)",14,0,3,,2,,8,0,,,,,1,
"College of Agriculture, Padannakkad (Id: C-44034)",12,20,1,1,2,,3,7,,,3,2,,5
"College of Agriculture, Parbhani (Id: C-44523)",55,9,13,3,4,,19,2,1,,1,,7,3
"College of Agriculture, Pathri (Id: C-44520)",19,3,5,,,,6,,,,,,4,
"COLLEGE OF AGRICULTURE, PHALTAN (Id: C-50702)",17,10,1,1,,,8,6,,,,,,
"College of Agriculture, Raigarh (Id: C-33314)",11,3,2,,,,7,1,,,,,,
"College of Agriculture,Raipur (Id: C-33321)",69,17,1,3,3,1,9,,,,1,,4,1
"COLLEGE OF AGRICULTURE & RESEARCH STATION, BEMETARA (Id: C-49532)",8,3,2,2,2,1,1,,,,,,1,
"COLLEGE OF AGRICULTURE & RESEARCH STATION, KANKER (Id: C-49530)",9,1,,1,7,,,,,,1,,1,
"COLLEGE OF AGRICULTURE & RESEARCH STATION, KOREA (Id: C-49531)",7,1,1,,2,1,,,,,,,,
"COLLEGE OF AGRICULTURE & RESEARCH STATION, RAIGARH (Id: C-49533)",7,1,,,3,1,3,,,,,,,
"COLLEGE OF AGRICULTURE, RESOD (KARDA) (Id: C-44560)",14,2,4,,,,8,2,,,,,,
"College of Agriculture , Rewa (Id: C-29473)",16,1,,,,,2,,,,1,,1,
"College of Agriculture, Sangulwadi (Id: C-44806)",6,4,1,1,,,1,0,,,1,,1,
"College of Agriculture, Selu (Id: C-44530)",10,5,,1,,,1,1,,,,,1,1
"College Of Agriculture, Shivajinagar, Pune (Id: C-44571)",54,10,7,2,1,,17,2,,,1,,1,1
"COLLEGE OF AGRICULTURE, SONAI (Id: C-50798)",17,6,1,1,,,6,,,,,,,
"COLLEGE OF AGRICULTURE, SONAPUR (Id: C-44551)",16,6,4,2,1,,9,2,,,,,,3
"College of Agriculture, Tikamgarh (Id: C-29471)",21,5,,,1,3,1,,,,,,,1
"College of Agriculture, Tondapur, Tal. Kalamnuri (Id: C-44508)",19,4,5,2,,1,7,,,,,,3,2
College of Agriculture Vaso (Id: C-58335),12,2,,,,,3,1,,,,,,1
"College of Agriculture, Vellayanai (Id: C-44029)",22,56,2,4,,,12,12,,,3,1,8,14
"COLLEGE OF AGRICULTURE, WAGHAI (Id: C-46333)",21,1,2,,4,,2,,,,,1,,
"College of Agriculture, Warasiwani (Id: C-47403)",25,6,,,1,,,,,,,,,
"COLLEGE OF AGRICUTURAL BIOTECHNOLOGY, LONI (Id: C-50800)",8,6,2,1,,,,,,,,,,
"COLLEGE OF AGRICUTURE, LONI (Id: C-50804)",9,5,,,,,,,,,,,,
"College Of Agril. Bio-Technology ,Sangulwadi Tal ,Vaibhavwadi (Id: C-55089)",7,3,,1,,,3,1,,,,,,1
"College Of Agril. Engineering And Technology.sangulwadi,Tal Vaibhavwadi (Id: C-55090)",5,5,,1,,,3,2,,,,,,
COLLEGE OF ANIMAL HUSBANDRY (Id: C-50695),12,5,1,1,,,4,2,,,,,,1
"COLLEGE OF APPLIED EDU. & HEALTH SCIENCE GANGOTRI, ROORKEE ROAD, MEERUT Ph. No :- 663200, 769239,  772463,  647931 (Id: C-28999)",10,17,,,,,1,1,,,,2,,
COLLEGE OF APPLIED SCIENCE (Id: C-52024),2,11,,,,,1,5,,,1,1,,1
"College of Applied Science (IHRD), Adoor (Id: C-43640)",8,35,2,1,,,3,14,,,,2,1,11
"College of Applied SCience (IHRD), Govt.High School Campus, Mavelikkara (Id: C-43748)",13,20,1,2,,,5,2,,,1,2,1,2
"College of Applied Science IHRD, Kuttikanam, Peerumedu, - 685 531 (Id: C-11701)",6,13,,,,,2,5,,,,,1,7
"College of Applied Science IHRD, Madathil Arcade, Erattayar Road, Kattappana- 685 508 (Id: C-11824)",5,10,1,,,1,,3,,,,,4,8
"College of Applied Science IHRD, Mallappally West, Pathanamthitta (Id: C-11828)",5,8,,1,,,,1,,,,1,2,3
"College of Applied Science (IHRD), Njeezhoor P.O., Kaduthuruthy (Id: C-11784)",3,10,,2,,,,5,,,,,2,1
"College of Applied Science IHRD, Pulimoottil Bldg., Moolamattom Road, Thodupuzha 685 584 (Id: C-11832)",6,17,,2,,,,5,,,,4,5,4
"College of Applied Science (IHRD), Puthuppally -686034 (Id: C-11680)",5,14,,,,,3,9,,,,2,1,4
"COLLEGE OF APPLIED SCIENCE,KARTHIKAPPALLY (Id: C-51988)",4,15,,1,,,2,4,,,1,,,1
College of Applied Science- Neruvambram-Payyanur (Id: C-43775),4,9,,,,,4,8,,,,1,,
"College of Applied Science (Pattuvam),Kuttikkol (Id: C-43861)",3,16,,,,1,2,13,,,,,,
"College of Applied Science, Petta, Kanjirappally, Kottayam-686507 (Id: C-11645)",3,6,,,,,1,2,,,,2,1,2
"College of Applied Science , Pinarayi, Kannur (Id: C-43777)",1,15,,,,,,14,,,,1,,
"College of Applied Science,PO- Kuthuparamba-Kannur (Id: C-43866)",3,13,,,,,3,12,,,,1,,1
"College of Applied Science, P.O. Pettikundu (Cheemeni), Via Cheruvathur (Id: C-43794)",5,12,,,,,4,10,,,,,1,
College of Applied Science & Professional Studies (Id: C-488),9,6,,0,,2,3,3,,,,1,,
"COLLEGE OF APPLIED SCIENCES, AGALI, ATTAPPADI (Id: C-43282)",2,13,,1,,,1,7,,,,1,1,4
"COLLEGE OF APPLIED SCIENCES, AYALUR (Id: C-43309)",4,11,1,,,,1,5,,,1,1,2,3
"COLLEGE OF APPLIED SCIENCES, CHELAKKARA (Id: C-8096)",2,20,,1,,,1,10,,,,,0,2
"College of Applied Sciences, Dhanuvachapuram, Parassala (Id: C-43701)",3,13,1,,,,,6,,,,,2,4
"COLLEGE OF APPLIED SCIENCES,IHRD, KALLACHI (Id: C-8260)",3,16,,,,,2,11,,,,5,,
"COLLEGE OF APPLIED SCIENCES, IHRD, KILIYANAD (Id: C-8052)",5,44,1,3,,,4,33,,,2,3,,1
"COLLEGE OF APPLIED SCIENCES, IHRD, MUNDUPARAMBA (Id: C-8098)",2,12,,,,,2,6,,,2,3,,
"COLLEGE OF APPLIED SCIENCES, IHRD, MUTHUVALLUR (Id: C-8220)",10,4,1,,,,6,2,,1,5,1,,1
"COLLEGE OF APPLIED SCIENCES, IHRD, VATTAMKULAM (Id: C-8189)",8,10,2,1,,,3,8,,,2,2,,
"COLLEGE OF APPLIED SCIENCES, IHRD, VAZHAKKAD (Id: C-8217)",12,12,1,2,,,10,4,,,8,4,,1
"COLLEGE OF APPLIED SCIENCES, KODUNGALLUR (Id: C-8143)",3,8,,2,,,1,5,,,,2,,1
"College of Applied Sciences, Konni (Id: C-11841)",5,4,,,,,2,3,1,,,,2,
"College of Applied Sciences, Kundara, Kollam (Id: C-43756)",3,12,,2,,,2,6,,,1,4,0,1
"COLLEGE OF APPLIED SCIENCES, KUZHALMANNAM (Id: C-43281)",4,15,1,1,,,3,6,,,1,2,,2
"COLLEGE OF APPLIED SCIENCES, MALAMPUZHA (Id: C-43305)",3,16,,1,,,2,11,,,,2,2,
"College of Applied Sciences, Nedumkandam, ldukki- 685 553 (Id: C-11636)",3,8,1,,,,1,3,,,,,1,6
"COLLEGE OF APPLIED SCIENCES, PERISSERY, CHENGANNUR (Id: C-51779)",2,21,,,,,,10,,,,,2,3
"College of Applied Sciences, Puthenvelikkara P.O, North Paravur Ernakulam- 683 594 (Id: C-11835)",2,13,,,,,2,8,,,1,1,1,4
"COLLEGE OF APPLIED SCIENCES, THAMARASSERY (Id: C-43338)",5,30,,1,,,4,22,,,3,7,1,2
"COLLEGE OF APPLIED SCIENCES, VADAKKANCHERY (Id: C-43300)",8,23,1,3,,,3,17,,,1,6,2,1
"COLLEGE OF APPLIED SCIENCE, THIRUVAMBADI,  (Id: C-57033)",6,15,2,1,,,2,10,,,1,4,,3
"College of Architecture, Pune (Id: C-35439)",4,19,,,,,1,2,,,,,,
"College of Architecture Shivaji Peth, (Id: C-11039)",23,7,,,,,1,,,,,,11,2
COLLEGE OF ARCHITECTURE S NO 631A F.P .NO. 34 UJJANI COLONY OLD KUMATA NAKA. DIST SOLAPUR 413003 (Id: C-15704),13,10,,1,,,4,1,,,,,,
"COLLEGE OF ARCHITECTURE, SVIT, VASAD (Id: C-47904)",17,13,,,,,,,,,1,,,2
COLLEGE OF ARCHITECTURE TRIVANDRUM (Id: C-54551),24,30,,,,,8,7,,,2,,4,8
College of Art & Design (Id: C-44684),10,2,1,,,,1,,,,1,,,
College of Arts & Commerce (Id: C-24240),75,20,16,3,9,4,5,1,,,1,1,2,
College of Arts & Craft (Id: C-22852),8,3,2,,,,1,3,,,1,,,
"College of Arts,Science &Technology,Bondomunda (Id: C-40905)",15,4,,,,1,3,,,,,,,
"College of Ayur. & Research Centre, Akurdi, Pune (Id: C-13982)",20,43,3,5,,,1,5,,,,,,
"COLLEGE OF AYURVEDIC PHARMACEUTICAL SCIENCES JOGINDER NAGAR, MANDI  (Id: C-53292)",5,,,,,,,,,,,,,
"College of Ayurved, Pune (Id: C-35433)",43,36,6,4,,1,7,3,1,,,1,2,1
College of Basic Sciences & Humanities (Id: C-29455),24,31,1,,,,1,3,,,,1,,
